id,front,nmaterials,minPoint,maxPoint,aligned.dims,index,variantIds,isCornerPiece,setIds,componentIds
109,"0,0,1",1,"-0.54, -2.9802322E-8, -0.375","0.54, 0.45, 0.375","108.00001, 45.0, 75.0",13,,,,
122,"0,0,1",3,"-0.4, 0.0, -0.580001","0.4, 2.12, 0.06999999","80.0, 211.99998, 65.0001",26,"122,122_0",,,
122_0,"0,0,1",3,"-0.4, 0.0, -0.139991","0.4, 2.12, 0.07000001","80.0, 211.99998, 20.9991",26,"122,122_0",,,
126,"0,0,1",2,"-0.35, 0.0, -0.075","0.35, 1.4, 0.10000001","70.0, 140.0, 17.5",30,,,,
135,"0,0,1",7,"-0.50000596, 0.0, -0.400004","0.5, 2.3, 0.4","100.0006, 230.0, 80.0004",39,,,,
144,"0,0,1",2,"-0.3, 0.0, -0.0100001","0.3, 1.2, 0.01","60.000004, 120.00001, 2.00001",48,,,,
150,"0,0,1",2,"-0.197566, 7.016659E-4, -0.292428","0.197566, 0.592311, 0.301048","39.5132, 59.160934, 59.3476",54,,,,
174,"0,0,1",3,"-0.29, 7.7587366E-4, -0.29","0.29, 0.560345, 0.29","58.0, 55.956913, 58.0",70,,,,
203,"0,0,1",3,"-0.805, 0.0, -0.230001","0.805, 1.554008, 0.22999999","161.0, 155.4008, 46.0001",98,,,,
209,"0,0,1",2,"-0.7, 0.0, -0.075","0.7, 1.4, 0.10000001","140.0, 140.0, 17.5",104,,,,
210,"0,0,1",2,"-1.0488, 0.0, -0.075","1.0511999, 1.4, 0.10000001","210.0, 140.0, 17.5",105,,,,
261,"0,0,1",2,"-0.655, 0.0, -0.49998397","0.655, 0.795878, 0.509069","131.0, 79.5878, 100.905304",154,,,,
274,"0,0,1",3,"-0.45, 2.3841858E-7, -0.185","0.45, 0.74, 0.184354","90.0, 73.99998, 36.935402",167,,,,
317,"0,0,1",3,"-0.18, 1.04, -0.110005","0.18000102, 2.000001, 0.110005","36.0001, 96.00009, 22.001",195,,,,
352,"0,0,1",2,"-0.254573, 0.0, -0.219168","0.254573, 0.947761, 0.353437","50.914597, 94.7761, 57.2605",229,,,,
365,"0,0,1",1,"-0.16, 0.0, -0.16","0.16, 2.7, 0.16","32.0, 270.0, 32.0",242,,,,
441,"0,0,1",3,"-0.225167, 0.0, -0.24967298","0.225167, 0.999569, 0.250505","45.0334, 99.9569, 50.0178",320,,,,
456,"0,0,1",1,"-0.315, 1.1920929E-7, -0.1","0.315, 0.64, 0.1","63.0, 63.999985, 20.0",336,,,,
478,"0,0,1",2,"-0.515, 0.0, -0.17","0.51500094, 0.487656, 0.17","103.0001, 48.7656, 34.0",359,,,,
499,"0,0,1",1,"-0.250008, -0.0010894537, -0.0751591","0.2496, 0.467236, 0.07484099","49.9608, 46.832546, 15.00001",380,,,,
502,"0,0,1",3,"-0.8, 0.0, -0.08003199","0.8, 2.19923, 0.0800319","160.0, 219.92299, 16.00639",383,,,,
561,"0,0,1",2,"-0.299971, 2.7030706E-5, -0.20003","0.299971, 0.28, 0.20003","59.9942, 27.997295, 40.006",442,,,,
625,"0,0,1",4,"-1.2095, 2.3841858E-7, -0.0947938","1.2095, 2.5, 0.0947939","241.9, 249.99997, 18.95877",494,,,,
656,"0,0,1",2,"-0.7, 1.8775463E-5, -0.39","0.7, 0.750019, 0.39","140.0, 75.00002, 78.0",524,,,,
67,"0,0,1",2,"-0.455, 0.0, -0.46999997","0.455, 0.945857, 0.470869","91.0, 94.5857, 94.0869",538,,,,
77,"0,0,1",4,"-0.915822, -5.9604645E-8, -1.10332","0.901297, 0.972607, 1.1","181.7119, 97.26071, 220.332",645,,,,
81,"0,0,1",2,"-0.75, 0.0, -0.35","0.75, 0.893436, 0.35","150.0, 89.343605, 70.0",665,,,,
83,"0,0,1",3,"-0.176343, 7.016659E-4, -0.356254","0.176343, 0.864485, 0.351145","35.2686, 86.378334, 70.7399",667,,,,
87,"0,0,1",3,"-0.450051, 0.0, -0.238626","0.450051, 0.948046, 0.231969","90.0102, 94.8046, 47.0595",670,,,,
55abd427263bc2267f98595f18a6210f,"0,0,1",,"-0.703718,0.0,-0.315604","0.703718,0.547078,0.315604","140.7436,54.7078,63.1208",,,,,
7807caccf26f7845e5cf802ea0702182,"0,0,1",,"-0.914896,0.0,-0.764296","0.914896,0.602401,0.764296","182.9792,60.2401,152.8592",,,,,
c0970c1e14ba58a28d2d730aebe7865d,"0,0,1",,"-0.519643,0.0,-0.500593","0.519643,0.772075,0.500593","103.9286,77.2075,100.1186",,,,,
d9e3a8c4f093d66f3e474b0005d777b5,"0,0,1",,"-0.678993,0.0,-0.305547","0.678993,0.678993,0.305547","135.7986,67.8993,61.1094",,,,,
